check_id,model_label,metric_name,source_value,expected_display,source_artifact,target_artifact,status,matched_line,notes
N0001,sgd_stage3,accuracy,0.5589236233088135,0.5589,outputs/tables/table_final_model_selection_stage3.csv,MoTa.md,PASS,"- XGBoost accuracy `0.5677`, cao hơn SGD `0.5589`.",So lieu khop source table trong tolerance.
N0002,sgd_stage3,accuracy,0.5589236233088135,0.5589,outputs/tables/table_final_model_selection_stage3.csv,ThucNghiem.md,INFO,"Insight: XGBoost accuracy cao hơn SGD, nhưng macro-F1/balanced accuracy thấp hơn. Điều này cho thấy metric selection rất quan trọng trong LOB forecasting.",Metric/model duoc nhac nhung khong co so cu the de doi chieu.
N0003,sgd_stage3,accuracy,0.5589236233088135,0.5589,outputs/tables/table_final_model_selection_stage3.csv,audits/audit_stage3_11_icdm_evidence_hardening.md,PASS,"- `sgd_stage3`: role `main tabular baseline`, accuracy `0.5589`, macro-F1 `0.4652`, MCC `0.2363`, caveat: Baseline don gian, de tai lap; dung lam diem neo cho failure-analysis.",So lieu khop source table trong tolerance.
N0004,sgd_stage3,accuracy,0.5589236233088135,0.5589,outputs/tables/table_final_model_selection_stage3.csv,outputs/paper_assets/result_narrative_stage3_11_vi.md,INFO,"- `xgboost_gpu_stage3`: strong GPU tabular baseline / secondary baseline; macro-F1=0.4562, MCC=0.2364. Accuracy cao hon SGD nhung macro-F1/balanced accuracy thap hon; execution chi cai thien nhe.",Metric/model duoc nhac nhung khong co so cu the de doi chieu.
N0005,sgd_stage3,accuracy,0.5589236233088135,0.5589,outputs/tables/table_final_model_selection_stage3.csv,outputs/paper_assets/cross_asset_narrative_stage3_13_vi.md,INFO,,Metric khong duoc nhac trong artifact nay.
N0006,sgd_stage3,macro_f1,0.4651938936393822,0.4652,outputs/tables/table_final_model_selection_stage3.csv,MoTa.md,PASS,"- XGBoost macro-F1 `0.4562`, thấp hơn SGD `0.4652`.",So lieu khop source table trong tolerance.
N0007,sgd_stage3,macro_f1,0.4651938936393822,0.4652,outputs/tables/table_final_model_selection_stage3.csv,ThucNghiem.md,INFO,| SGD macro-F1 | `0.4557` |,Artifact chi nhac alias mo ho; khong ket luan mismatch.
N0008,sgd_stage3,macro_f1,0.4651938936393822,0.4652,outputs/tables/table_final_model_selection_stage3.csv,audits/audit_stage3_11_icdm_evidence_hardening.md,PASS,"- `sgd_stage3`: role `main tabular baseline`, accuracy `0.5589`, macro-F1 `0.4652`, MCC `0.2363`, caveat: Baseline don gian, de tai lap; dung lam diem neo cho failure-analysis.",So lieu khop source table trong tolerance.
N0009,sgd_stage3,macro_f1,0.4651938936393822,0.4652,outputs/tables/table_final_model_selection_stage3.csv,outputs/paper_assets/result_narrative_stage3_11_vi.md,PASS,"- `sgd_stage3`: main tabular baseline; macro-F1=0.4652, MCC=0.2363. Baseline don gian, de tai lap; dung lam diem neo cho failure-analysis.",So lieu khop source table trong tolerance.
N0010,sgd_stage3,macro_f1,0.4651938936393822,0.4652,outputs/tables/table_final_model_selection_stage3.csv,outputs/paper_assets/cross_asset_narrative_stage3_13_vi.md,INFO,,Metric khong duoc nhac trong artifact nay.
N0011,sgd_stage3,mcc,0.2363343627718826,0.2363,outputs/tables/table_final_model_selection_stage3.csv,MoTa.md,PASS,"- MCC gần như ngang: XGBoost `0.23637`, SGD `0.23633`.",So lieu khop source table trong tolerance.
N0012,sgd_stage3,mcc,0.2363343627718826,0.2363,outputs/tables/table_final_model_selection_stage3.csv,ThucNghiem.md,INFO,| SGD MCC | `0.2503` |,Artifact chi nhac alias mo ho; khong ket luan mismatch.
N0013,sgd_stage3,mcc,0.2363343627718826,0.2363,outputs/tables/table_final_model_selection_stage3.csv,audits/audit_stage3_11_icdm_evidence_hardening.md,PASS,"- `sgd_stage3`: role `main tabular baseline`, accuracy `0.5589`, macro-F1 `0.4652`, MCC `0.2363`, caveat: Baseline don gian, de tai lap; dung lam diem neo cho failure-analysis.",So lieu khop source table trong tolerance.
N0014,sgd_stage3,mcc,0.2363343627718826,0.2363,outputs/tables/table_final_model_selection_stage3.csv,outputs/paper_assets/result_narrative_stage3_11_vi.md,PASS,"- `sgd_stage3`: main tabular baseline; macro-F1=0.4652, MCC=0.2363. Baseline don gian, de tai lap; dung lam diem neo cho failure-analysis.",So lieu khop source table trong tolerance.
N0015,sgd_stage3,mcc,0.2363343627718826,0.2363,outputs/tables/table_final_model_selection_stage3.csv,outputs/paper_assets/cross_asset_narrative_stage3_13_vi.md,INFO,,Metric khong duoc nhac trong artifact nay.
N0016,sgd_stage3,balanced_accuracy,0.4637370420120062,0.4637,outputs/tables/table_final_model_selection_stage3.csv,MoTa.md,INFO,"Diễn giải hiện tại: Stage 3 củng cố rất mạnh narrative của paper. Forecasting có tín hiệu và taxonomy ổn định hơn, nhưng edge execution rất mỏng và dễ bị cost phá. XGBoost là strong tabular baseline phụ: accuracy cao hơn và execution RSEP n",Metric/model duoc nhac nhung khong co so cu the de doi chieu.
N0017,sgd_stage3,balanced_accuracy,0.4637370420120062,0.4637,outputs/tables/table_final_model_selection_stage3.csv,ThucNghiem.md,INFO,"Insight: XGBoost accuracy cao hơn SGD, nhưng macro-F1/balanced accuracy thấp hơn. Điều này cho thấy metric selection rất quan trọng trong LOB forecasting.",Metric/model duoc nhac nhung khong co so cu the de doi chieu.
N0018,sgd_stage3,balanced_accuracy,0.4637370420120062,0.4637,outputs/tables/table_final_model_selection_stage3.csv,audits/audit_stage3_11_icdm_evidence_hardening.md,INFO,"- `xgboost_gpu_stage3`: role `strong GPU tabular baseline / secondary baseline`, accuracy `0.5677`, macro-F1 `0.4562`, MCC `0.2364`, caveat: Accuracy cao hon SGD nhung macro-F1/balanced accuracy thap hon; execution chi cai thien nhe.",Metric/model duoc nhac nhung khong co so cu the de doi chieu.
N0019,sgd_stage3,balanced_accuracy,0.4637370420120062,0.4637,outputs/tables/table_final_model_selection_stage3.csv,outputs/paper_assets/result_narrative_stage3_11_vi.md,INFO,"- `xgboost_gpu_stage3`: strong GPU tabular baseline / secondary baseline; macro-F1=0.4562, MCC=0.2364. Accuracy cao hon SGD nhung macro-F1/balanced accuracy thap hon; execution chi cai thien nhe.",Metric/model duoc nhac nhung khong co so cu the de doi chieu.
N0020,sgd_stage3,balanced_accuracy,0.4637370420120062,0.4637,outputs/tables/table_final_model_selection_stage3.csv,outputs/paper_assets/cross_asset_narrative_stage3_13_vi.md,INFO,,Metric khong duoc nhac trong artifact nay.
N0021,sgd_stage3,test_rows,33550262.0,33550262,outputs/tables/table_final_model_selection_stage3.csv,MoTa.md,INFO,,Metric khong duoc nhac trong artifact nay.
N0022,sgd_stage3,test_rows,33550262.0,33550262,outputs/tables/table_final_model_selection_stage3.csv,ThucNghiem.md,INFO,,Metric khong duoc nhac trong artifact nay.
N0023,sgd_stage3,test_rows,33550262.0,33550262,outputs/tables/table_final_model_selection_stage3.csv,audits/audit_stage3_11_icdm_evidence_hardening.md,INFO,,Metric khong duoc nhac trong artifact nay.
N0024,sgd_stage3,test_rows,33550262.0,33550262,outputs/tables/table_final_model_selection_stage3.csv,outputs/paper_assets/result_narrative_stage3_11_vi.md,INFO,,Metric khong duoc nhac trong artifact nay.
N0025,sgd_stage3,test_rows,33550262.0,33550262,outputs/tables/table_final_model_selection_stage3.csv,outputs/paper_assets/cross_asset_narrative_stage3_13_vi.md,INFO,,Metric khong duoc nhac trong artifact nay.
