regime,diagnostic_interpretation,causal_inputs,rule_summary,threshold_source
LIQUIDITY_DROUGHT,Severe liquidity deterioration and spread/depth stress.,"depth_drop_top10, spread_z_1m",depth_drop_top10 <= depth_drop_q10 AND spread_z_1m >= spread_z_q80,train-prefix quantiles only
MOMENTUM_TOXIC,Strong directional pressure with elevated adverse-selection risk.,"abs(momentum_score), adverse_selection_score",abs(momentum_score) >= momentum_abs_q80 AND adverse_selection_score >= adverse_q70,train-prefix quantiles only
VOLATILE_ILLIQUID,High volatility with unfavorable spread and weak visible depth.,"vol_score, rel_spread, total_depth_10",vol_score >= vol_q70 AND rel_spread >= spread_q70 AND total_depth_10 <= depth_q40,train-prefix quantiles only
CHOPPY_MEAN_REVERTING,Reversal-prone movement where short-horizon direction is fragile.,"choppiness_score, abs(momentum_score)",choppiness_score >= flip_q70 AND abs(momentum_score) <= momentum_abs_q50,train-prefix quantiles only
SHOCK_RECOVERY,Post-shock state with elevated movement but not the strict drought condition.,"vol_score, depth_drop_top10, spread_z_1m",vol_score >= vol_q70 AND depth_drop_top10 > depth_drop_q10 AND spread_z_1m < spread_z_q80,train-prefix quantiles only
VOLATILE_LIQUID,Elevated volatility with comparatively adequate depth and spread.,"vol_score, rel_spread, total_depth_10",vol_score >= vol_q70 AND rel_spread <= spread_q40 AND total_depth_10 >= depth_q60,train-prefix quantiles only
CALM_ILLIQUID,Low volatility with less favorable spread/depth conditions.,"vol_score, rel_spread, total_depth_10",vol_score <= vol_q40 AND rel_spread >= spread_q70 AND total_depth_10 <= depth_q40,train-prefix quantiles only
CALM_LIQUID,"Low volatility, narrow spread, and sufficient visible depth.","vol_score, rel_spread, total_depth_10",vol_score <= vol_q40 AND rel_spread <= spread_q40 AND total_depth_10 >= depth_q60,train-prefix quantiles only
MILD_LIQUIDITY_STRESS,Moderate liquidity deterioration below stricter drought priority.,"liquidity_score, stress_score, liquidity_drought_score",(liquidity_score <= liquidity_q45 OR liquidity_drought_score >= drought_q55) with bounded stress,train-prefix quantiles only
BALANCED_TRANSITION,Structured residual state that is not clearly calm or extreme.,"stress_score, directional_toxicity_score, liquidity_score",stress_score <= stress_q60 AND directional_toxicity_score <= toxicity_q65 AND liquidity_score >= liquidity_q30,train-prefix quantiles only
UNKNOWN,Ambiguous or insufficient diagnostics after all priority rules.,fallback after all causal diagnostic rules,No priority or residual rule matched.,explicit fallback; not hidden or redistributed
