scope,asset_or_direction,model,model_family,feature_version,label_version,prediction_artifact,threshold_grid,rsep_grid,validation_metric,selected_policy,selected_thresholds,validation_result,test_result,selection_source,test_used_for_selection,selection_audit_status,notes
btc_within_asset_stage3,BTC-USDT,sgd_stage3,streaming_sgd_tabular,lob_features_stage3_v1,cost_aware_h50_fee1bps_kappa0.5,data/predictions/predictions.parquet,"[0.0, 2.4625701e-05, 3.1899891e-05, 4.0931284e-05, 5.3034836e-05, 7.1312941e-05, 8.6183453e-05, 9.8641055e-05, 0.000111023276]","configs/rsep_grid.yaml; lambda singleton grid, theta quantile grid",max_net_pnl_with_min_trades_and_min_trade_days,RSEP-full,"{""RSEP-full"": 9.8641055e-05}","{""n_trade_days"": 58, ""n_trades"": 5868, ""net_pnl"": -717.5373259006718, ""split"": ""valid"", ""tuning_split"": """"}","{""gross_pnl"": 2300.8222825707703, ""n_trades"": 33713, ""net_pnl"": -4437.492424989721, ""net_pnl_per_trade"": -0.13162555764808}",valid,False,PASS_VALIDATION_ONLY,source_artifact=outputs/tables/table_policy_tuning_stage3.csv; threshold selected by validation net PnL under min-trades/min-days constraints
btc_within_asset_stage3,BTC-USDT,sgd_stage3,streaming_sgd_tabular,lob_features_stage3_v1,cost_aware_h50_fee1bps_kappa0.5,data/predictions/predictions.parquet,"[0.0, 3.3889986e-05, 4.3093848e-05, 5.3972487e-05, 6.7484701e-05, 8.6582886e-05, 0.000101907941, 0.00011430289, 0.000127427957]",not_applicable,max_net_pnl_with_min_trades_and_min_trade_days,cost_aware_threshold,"{""cost_aware_threshold"": 0.000127427957}","{""n_trade_days"": 58, ""n_trades"": 12383, ""net_pnl"": -1942.149436346653, ""split"": ""valid"", ""tuning_split"": """"}","{""gross_pnl"": 4533.465424289471, ""n_trades"": 67165, ""net_pnl"": -8891.626690132656, ""net_pnl_per_trade"": -0.1323848237941287}",valid,False,PASS_VALIDATION_ONLY,source_artifact=outputs/tables/table_policy_tuning_stage3.csv; threshold selected by validation net PnL under min-trades/min-days constraints
btc_within_asset_stage3,BTC-USDT,sgd_stage3,streaming_sgd_tabular,lob_features_stage3_v1,cost_aware_h50_fee1bps_kappa0.5,data/predictions/predictions.parquet,"[0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95]",not_applicable,max_net_pnl_with_min_trades_and_min_trade_days,naive_threshold,"{""naive_threshold"": 0.8}","{""n_trade_days"": 58, ""n_trades"": 5024, ""net_pnl"": -950.3390296650856, ""split"": ""valid"", ""tuning_split"": """"}","{""gross_pnl"": 2016.4421384725613, ""n_trades"": 32891, ""net_pnl"": -4557.584431207933, ""net_pnl_per_trade"": -0.1385663078412919}",valid,False,PASS_VALIDATION_ONLY,source_artifact=outputs/tables/table_policy_tuning_stage3.csv; threshold selected by validation net PnL under min-trades/min-days constraints
btc_within_asset_stage3,BTC-USDT,tcn_gpu_stage3,temporal_tcn,lob_features_stage3_v1,cost_aware_h50_fee1bps_kappa0.5,data/predictions/predictions_stage3_tcn_gpu_execution_ready.parquet,"[0.0, 8.612347e-06, 1.1152156e-05, 1.4391646e-05, 1.8674829e-05, 2.5818903e-05, 3.2634565e-05, 3.9437282e-05, 4.9665227e-05]","configs/rsep_grid.yaml; lambda singleton grid, theta quantile grid",max_net_pnl_with_min_trades_and_min_trade_days,RSEP-full,"{""RSEP-full"": 1.4391646e-05}","{""n_trade_days"": 58, ""n_trades"": 1716, ""net_pnl"": -244.41208573487813, ""split"": ""valid"", ""tuning_split"": """"}","{""gross_pnl"": -4.664455767581416, ""n_trades"": 619, ""net_pnl"": -128.4293425721194, ""net_pnl_per_trade"": -0.2074787440583512}",valid,False,PASS_VALIDATION_ONLY,source_artifact=outputs/tables/table_policy_tuning_stage3.csv; threshold selected by validation net PnL under min-trades/min-days constraints
btc_within_asset_stage3,BTC-USDT,tcn_gpu_stage3,temporal_tcn,lob_features_stage3_v1,cost_aware_h50_fee1bps_kappa0.5,data/predictions/predictions_stage3_tcn_gpu_execution_ready.parquet,"[0.0, 9.126723e-06, 1.191053e-05, 1.5520751e-05, 2.0468738e-05, 2.8638361e-05, 3.6714177e-05, 4.546208e-05, 5.7074404e-05]",not_applicable,max_net_pnl_with_min_trades_and_min_trade_days,cost_aware_threshold,"{""cost_aware_threshold"": 3.6714177e-05}","{""n_trade_days"": 57, ""n_trades"": 1742, ""net_pnl"": -257.6397993744548, ""split"": ""valid"", ""tuning_split"": """"}","{""gross_pnl"": -92.972404686562, ""n_trades"": 656, ""net_pnl"": -224.1142794437933, ""net_pnl_per_trade"": -0.3416376211033435}",valid,False,PASS_VALIDATION_ONLY,source_artifact=outputs/tables/table_policy_tuning_stage3.csv; threshold selected by validation net PnL under min-trades/min-days constraints
btc_within_asset_stage3,BTC-USDT,tcn_gpu_stage3,temporal_tcn,lob_features_stage3_v1,cost_aware_h50_fee1bps_kappa0.5,data/predictions/predictions_stage3_tcn_gpu_execution_ready.parquet,"[0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95]",not_applicable,max_net_pnl_with_min_trades_and_min_trade_days,naive_threshold,"{""naive_threshold"": 0.6}","{""n_trade_days"": 53, ""n_trades"": 3694, ""net_pnl"": -460.3951578590948, ""split"": ""valid"", ""tuning_split"": """"}","{""gross_pnl"": -612.1207958925717, ""n_trades"": 3100, ""net_pnl"": -1231.7224351556238, ""net_pnl_per_trade"": -0.3973298177921367}",valid,False,PASS_VALIDATION_ONLY,source_artifact=outputs/tables/table_policy_tuning_stage3.csv; threshold selected by validation net PnL under min-trades/min-days constraints
btc_within_asset_stage3,BTC-USDT,tcn_gpu_stage3_stride1,temporal_tcn,lob_features_stage3_v1,cost_aware_h50_fee1bps_kappa0.5,data/predictions/predictions_stage3_tcn_gpu_stride1_execution_ready.parquet,"[0.0, 8.491254e-06, 1.1165357e-05, 1.4305205e-05, 1.8716394e-05, 2.5773385e-05, 3.2696371e-05, 3.9081205e-05, 4.884914e-05]","configs/rsep_grid.yaml; lambda singleton grid, theta quantile grid",max_net_pnl_with_min_trades_and_min_trade_days,RSEP-full,"{""RSEP-full"": 1.1165357e-05}","{""n_trade_days"": 58, ""n_trades"": 2982, ""net_pnl"": -389.6664334571571, ""split"": ""valid"", ""tuning_split"": """"}","{""gross_pnl"": 271.7315744987493, ""n_trades"": 5435, ""net_pnl"": -814.1668892095277, ""net_pnl_per_trade"": -0.1498007155859296}",valid,False,PASS_VALIDATION_ONLY,source_artifact=outputs/tables/table_policy_tuning_stage3.csv; threshold selected by validation net PnL under min-trades/min-days constraints; test-best policy differs from validation-selected policy; paper must treat it as reporting diagnostic
btc_within_asset_stage3,BTC-USDT,tcn_gpu_stage3_stride1,temporal_tcn,lob_features_stage3_v1,cost_aware_h50_fee1bps_kappa0.5,data/predictions/predictions_stage3_tcn_gpu_stride1_execution_ready.parquet,"[0.0, 9.014248e-06, 1.1771823e-05, 1.5391116e-05, 2.0304864e-05, 2.8447036e-05, 3.6634694e-05, 4.4575606e-05, 5.6739637e-05]",not_applicable,max_net_pnl_with_min_trades_and_min_trade_days,cost_aware_threshold,"{""cost_aware_threshold"": 3.6634694e-05}","{""n_trade_days"": 58, ""n_trades"": 2423, ""net_pnl"": -440.9912511983528, ""split"": ""valid"", ""tuning_split"": """"}","{""gross_pnl"": 125.76323503121952, ""n_trades"": 4570, ""net_pnl"": -787.9979672806533, ""net_pnl_per_trade"": -0.1724284392299022}",valid,False,PASS_VALIDATION_ONLY,source_artifact=outputs/tables/table_policy_tuning_stage3.csv; threshold selected by validation net PnL under min-trades/min-days constraints; test-best policy differs from validation-selected policy; paper must treat it as reporting diagnostic
btc_within_asset_stage3,BTC-USDT,tcn_gpu_stage3_stride1,temporal_tcn,lob_features_stage3_v1,cost_aware_h50_fee1bps_kappa0.5,data/predictions/predictions_stage3_tcn_gpu_stride1_execution_ready.parquet,"[0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95]",not_applicable,max_net_pnl_with_min_trades_and_min_trade_days,naive_threshold,"{""naive_threshold"": 0.6}","{""n_trade_days"": 53, ""n_trades"": 4963, ""net_pnl"": -855.2489137288426, ""split"": ""valid"", ""tuning_split"": """"}","{""gross_pnl"": 629.9243533728189, ""n_trades"": 19932, ""net_pnl"": -3355.27969271206, ""net_pnl_per_trade"": -0.1683363281513174}",valid,False,PASS_VALIDATION_ONLY,source_artifact=outputs/tables/table_policy_tuning_stage3.csv; threshold selected by validation net PnL under min-trades/min-days constraints; test-best policy differs from validation-selected policy; paper must treat it as reporting diagnostic
btc_within_asset_stage3,BTC-USDT,xgboost_gpu_stage3,xgboost_gpu_tabular,lob_features_stage3_v1,cost_aware_h50_fee1bps_kappa0.5,data/predictions/predictions_stage3_xgboost_gpu.parquet,"[0.0, 1.3084027e-05, 1.6102086e-05, 1.9554686e-05, 2.3531733e-05, 2.8670656e-05, 3.2988377e-05, 3.6502049e-05, 4.0656423e-05]","configs/rsep_grid.yaml; lambda singleton grid, theta quantile grid",max_net_pnl_with_min_trades_and_min_trade_days,RSEP-full,"{""RSEP-full"": 3.2988377e-05}","{""n_trade_days"": 58, ""n_trades"": 4050, ""net_pnl"": -492.4482467691277, ""split"": ""valid"", ""tuning_split"": """"}","{""gross_pnl"": 2953.001171721243, ""n_trades"": 36360, ""net_pnl"": -4303.192190442313, ""net_pnl_per_trade"": -0.1183496201991835}",valid,False,PASS_VALIDATION_ONLY,source_artifact=outputs/tables/table_policy_tuning_stage3.csv; threshold selected by validation net PnL under min-trades/min-days constraints
