category,label,required_or_recommended_keys,present_keys,cited_keys,status,recommendation
fi_2010,FI-2010 / LOB benchmark dataset,ntakaris2018benchmark,ntakaris2018benchmark,ntakaris2018benchmark,PASS,No action required.
deeplob,DeepLOB / canonical deep LOB,"deeplob2019,sirignano2019deeplob","deeplob2019,sirignano2019deeplob","deeplob2019,sirignano2019deeplob",PASS,No action required.
lob_benchmark,LOB benchmark/comparison,"briola2025lobframe,ntakaris2018benchmark,prata2024lobbenchmark","briola2025lobframe,ntakaris2018benchmark,prata2024lobbenchmark","briola2025lobframe,ntakaris2018benchmark,prata2024lobbenchmark",PASS,No action required.
lob_transformer_deep_temporal,Transformer/deep temporal LOB,"bai2018tcn,briola2025lobframe,xiao2025lit","bai2018tcn,briola2025lobframe,xiao2025lit","bai2018tcn,briola2025lobframe,xiao2025lit",PASS,No action required.
market_microstructure,Market microstructure,"cartea2015algorithmic,cont2010stochasticlob,gould2013limitorderbooks,madhavan2000microstructure,ohara2015highfrequency","cartea2015algorithmic,cont2010stochasticlob,gould2013limitorderbooks,madhavan2000microstructure,ohara2015highfrequency","cartea2015algorithmic,cont2010stochasticlob,gould2013limitorderbooks,madhavan2000microstructure,ohara2015highfrequency",PASS,No action required.
crypto_microstructure,Crypto microstructure / market integrity,"almeida2024cryptomicrostructure,angerer2025cryptoorderbook,fsb2023crypto,iosco_crypto2023,schnaubelt2019bitcoinlob","almeida2024cryptomicrostructure,angerer2025cryptoorderbook,fsb2023crypto,iosco_crypto2023,schnaubelt2019bitcoinlob","almeida2024cryptomicrostructure,fsb2023crypto,iosco_crypto2023",PASS,No action required.
dataset_documentation,Dataset provider documentation,cryptolake_data,cryptolake_data,cryptolake_data,PASS,No action required.
time_series_validation,Time-series validation,"bergmeir2018timeseriescv,cerqueira2020timeserieseval","bergmeir2018timeseriescv,cerqueira2020timeserieseval","bergmeir2018timeseriescv,cerqueira2020timeserieseval",PASS,No action required.
distribution_shift,Distribution shift,"koh2021wilds,ovadia2019uncertainty,quinonero2009datasetshift","koh2021wilds,ovadia2019uncertainty,quinonero2009datasetshift","koh2021wilds,ovadia2019uncertainty,quinonero2009datasetshift",PASS,No action required.
bootstrap_statistical_validation,Bootstrap/statistical validation,"efron1979bootstrap,politis1994stationarybootstrap","efron1979bootstrap,politis1994stationarybootstrap","efron1979bootstrap,politis1994stationarybootstrap",PASS,No action required.
backtest_overfitting,Backtest overfitting/data snooping,"bailey2016backtestoverfitting,lopezdeprado2018afml,white2000realitycheck","bailey2016backtestoverfitting,lopezdeprado2018afml,white2000realitycheck","bailey2016backtestoverfitting,lopezdeprado2018afml,white2000realitycheck",PASS,No action required.
