key,entry_type,cited,title,bib_year,bib_venue,bib_doi,doi_status,crossref_title,crossref_year,crossref_venue,title_similarity,year_match,venue_match,url_status,category,audit_status,issue,recommendation
almeida2024cryptomicrostructure,article,True,Cryptocurrency Market Microstructure: A Systematic Literature Review,2024,Annals of Operations Research,10.1007/s10479-023-05627-5,FOUND,Cryptocurrency market microstructure: a systematic literature review,2024,Annals of Operations Research,1.0,True,True,NOT_REQUIRED,crypto_microstructure,PASS,,No action required.
angerer2025cryptoorderbook,article,False,Order Book Liquidity on Crypto Exchanges,2025,Journal of Risk and Financial Management,10.3390/jrfm18030124,FOUND,Order Book Liquidity on Crypto Exchanges,2025,Journal of Risk and Financial Management,1.0,True,True,NOT_REQUIRED,crypto_microstructure,UNUSED,UNUSED_ENTRY,No action required.
aquilina2022armsrace,article,True,Quantifying the High-Frequency Trading ``Arms Race'',2022,The Quarterly Journal of Economics,10.1093/qje/qjab032,FOUND,Quantifying the High-Frequency Trading “Arms Race”,2021,The Quarterly Journal of Economics,1.0,True,True,NOT_REQUIRED,,PASS,,No action required.
aquilina2025speedpremium,techreport,True,The Speed Premium: High-Frequency Trading and the Cost of Capital,2025,Bank for International Settlements,,NOT_REQUIRED,,,,0.0,False,False,OK,,PASS,,No action required.
arroyo2024survival,article,False,Deep Attentive Survival Analysis in Limit Order Books: Estimating Fill Probabilities with Convolutional-Transformers,2024,Quantitative Finance,10.1080/14697688.2023.2286351,FOUND,Deep attentive survival analysis in limit order books: estimating fill probabilities with convolutional-transformers,2024,Quantitative Finance,1.0,True,True,NOT_REQUIRED,,UNUSED,UNUSED_ENTRY,No action required.
bai2018tcn,misc,True,An Empirical Evaluation of Generic Convolutional and Recurrent Networks for Sequence Modeling,2018,,,ARXIV_ONLY,Structured Sequence Modeling with Graph Convolutional Recurrent Networks,2018,Lecture Notes in Computer Science,0.5091,True,False,NOT_REQUIRED,lob_transformer_deep_temporal,ARXIV_ONLY,ARXIV_ONLY_ACCEPTABLE_IF_CANONICAL,Keep only if this is the canonical source for the model/protocol.
bailey2016backtestoverfitting,article,True,The Probability of Backtest Overfitting,2016,Journal of Computational Finance,10.21314/JCF.2016.322,FOUND,The probability of backtest overfitting,2016,The Journal of Computational Finance,1.0,True,True,NOT_REQUIRED,backtest_overfitting,PASS,,No action required.
bergmeir2018timeseriescv,article,True,A Note on the Validity of Cross-Validation for Evaluating Autoregressive Time Series Prediction,2018,Computational Statistics \& Data Analysis,10.1016/j.csda.2017.11.003,FOUND,A note on the validity of cross-validation for evaluating autoregressive time series prediction,2018,Computational Statistics &amp; Data Analysis,1.0,True,True,NOT_REQUIRED,time_series_validation,PASS,,No action required.
bieganowski2026cryptoexplainable,misc,False,Explainable Patterns in Cryptocurrency Microstructure,2026,,,PEER_REVIEWED_ALTERNATIVE_FOUND,Explainable Patterns in Cryptocurrency Microstructure,2026,,1.0,True,False,NOT_REQUIRED,,QUESTIONABLE,ARXIV_HAS_PEER_REVIEWED_ALTERNATIVE;UNUSED_ENTRY,Consider replacing/augmenting with DOI 10.2139/ssrn.6159346.
bis_hft,techreport,True,Quantifying the High-Frequency Trading ``Arms Race'',2021,Bank for International Settlements,,NOT_REQUIRED,,,,0.0,False,False,OK,,PASS,,No action required.
briola2025hlob,article,False,{HLOB}: Information Persistence and Structure in Limit Order Books,2025,Expert Systems with Applications,10.1016/j.eswa.2024.126078,FOUND,HLOB–Information persistence and structure in limit order books,2025,Expert Systems with Applications,1.0,True,True,NOT_REQUIRED,,UNUSED,UNUSED_ENTRY,No action required.
briola2025lobframe,article,True,Deep Limit Order Book Forecasting: A Microstructural Guide,2025,Quantitative Finance,10.1080/14697688.2025.2522911,FOUND,Deep limit order book forecasting: a microstructural guide,2025,Quantitative Finance,1.0,True,True,NOT_REQUIRED,lob_benchmark;lob_transformer_deep_temporal,PASS,,No action required.
